"Date","Price","Open","High","Low","Vol.","Change %"
"May 01, 2020","14.905","15.005","15.045","14.848","-","-0.67%"
"Apr 30, 2020","15.005","15.415","15.760","14.795","-","-2.63%"
"Apr 29, 2020","15.410","15.185","15.473","15.155","-","1.46%"
"Apr 28, 2020","15.188","15.248","15.315","14.940","-","-0.35%"
"Apr 27, 2020","15.242","15.365","15.447","15.105","-","-0.80%"
"Apr 26, 2020","15.365","15.350","15.390","15.290","-","0.07%"
"Apr 24, 2020","15.355","15.365","15.547","15.090","-","-0.01%"
"Apr 23, 2020","15.357","15.280","15.717","15.207","-","0.48%"
"Apr 22, 2020","15.283","14.985","15.365","14.783","-","2.04%"
"Apr 21, 2020","14.977","15.492","15.557","14.562","-","-3.30%"
"Apr 20, 2020","15.488","15.248","15.693","15.215","-","1.59%"
"Apr 19, 2020","15.245","15.290","15.355","15.235","-","-0.67%"
"Apr 17, 2020","15.348","15.735","15.797","15.197","-","-2.48%"
"Apr 16, 2020","15.738","15.602","15.910","15.443","-","0.80%"
"Apr 15, 2020","15.613","15.970","16.080","15.482","-","-2.22%"
"Apr 14, 2020","15.967","15.730","16.297","15.707","-","1.51%"
"Apr 13, 2020","15.730","15.755","15.895","15.383","-","-0.22%"
"Apr 12, 2020","15.765","15.865","15.973","15.732","-","-0.94%"
"Apr 10, 2020","15.915","15.915","15.915","15.915","-","-0.02%"
"Apr 09, 2020","15.918","15.238","16.082","15.232","-","4.44%"
"Apr 08, 2020","15.242","15.270","15.445","15.125","-","-0.23%"
"Apr 07, 2020","15.277","15.650","15.812","15.207","-","-2.32%"
"Apr 06, 2020","15.640","14.527","15.915","14.463","-","7.64%"
"Apr 05, 2020","14.530","14.500","14.570","14.357","-","0.03%"
"Apr 03, 2020","14.525","14.623","14.745","14.443","-","-0.63%"
"Apr 02, 2020","14.617","14.090","14.715","13.992","-","3.75%"
"Apr 01, 2020","14.088","14.135","14.262","13.940","-","-0.33%"
"Mar 31, 2020","14.135","14.152","14.428","14.055","-","-0.16%"
"Mar 30, 2020","14.158","14.555","14.605","13.955","-","-2.71%"
"Mar 29, 2020","14.553","14.565","14.710","14.473","-","0.38%"
"Mar 27, 2020","14.498","14.335","14.450","14.335","0.08K","-0.97%"
